Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,testPost40Threads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,testPostMixedEventType04Threads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,testPostMixedEventType40Threads,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsSingleEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsSingleEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusRegistrationRacingTest,run,Magic Number
EventBus,org.greenrobot.eventbus,SubscriberThread,run,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testAnonymousSubscriberClassWithPublicSuperclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testAnonymousSubscriberClassWithPrivateSuperclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testSubscriberClassWithPublicAndPrivateEvent,Magic Number
EventBus,org.greenrobot.eventbus,EventBusFallbackToReflectionTest,testSubscriberExtendingClassWithPrivateEvent,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testRegisterTwice,Empty catch clause
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testPostMultipleTimes,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testRegisterAndPostTwoTypes,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testRegisterAndPostTwoTypes,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testRegisterUnregisterAndPostTwoTypes,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbus,EventBusBasicTest,onEvent,Magic Number
EventBus,org.greenrobot.eventbus,RepostInteger,onEvent,Magic Number
EventBus,org.greenrobot.eventbus,EventBusNoSubscriberEventTest,testBadNoSubscriberSubscriber,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_TypeErasure,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_TypeErasure,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrdered,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedMainThread,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedMainThread,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThread,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThread,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedSticky,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedMainThreadSticky,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedMainThreadSticky,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThreadSticky,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,testOrderedBackgroundThreadSticky,Magic Number
EventBus,org.greenrobot.eventbus,EventBusOrderedSubscriptionsTest,runTestOrdered,Magic Number
