Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
EventBus,org.greenrobot.eventbusp,StringEventSubscriber,1,1,1,1,6,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbusp,CharSequenceSubscriber,0,0,1,1,4,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,ObjectSubscriber,0,0,1,1,4,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,MyEvent,0,0,0,0,2,0,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,MyEventExtended,0,0,0,0,2,0,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbusp,RepostInteger,2,2,1,1,14,2,0,0,0.0,1,0
EventBus,org.greenrobot.eventbusp,EventBusIndexTest,1,0,3,3,24,3,0,0,0.6666666666666666,1,4
EventBus,org.greenrobot.eventbusp,EventBusNoSubscriberEventTest,0,0,7,7,45,7,0,1,-1.0,0,3
EventBus,org.greenrobot.eventbusp,DummySubscriber,0,0,1,1,4,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,BadNoSubscriberSubscriber,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,1,0,7,7,53,7,0,1,1.0,0,5
EventBus,org.greenrobot.eventbusp,GenericEvent,1,0,0,0,3,0,0,0,-1.0,2,0
EventBus,org.greenrobot.eventbusp,GenericEventSubscriber,0,0,1,1,5,1,0,0,-1.0,1,1
EventBus,org.greenrobot.eventbusp,FullGenericEventSubscriber,0,0,1,1,5,1,0,0,-1.0,1,0
EventBus,org.greenrobot.eventbusp,GenericNumberEventSubscriber,0,0,1,1,5,1,1,0,-1.0,1,0
EventBus,org.greenrobot.eventbusp,GenericFloatEventSubscriber,0,0,0,0,2,0,0,1,-1.0,1,0
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,3,0,31,28,120,33,0,1,0.7419354838709677,0,1
EventBus,org.greenrobot.eventbusp,PrioSubscriber,0,0,12,11,43,13,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp,PrioSubscriberSticky,0,0,12,11,43,13,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,4,0,12,11,85,14,1,1,0.75,0,1
EventBus,org.greenrobot.eventbusp,Subscriber,2,0,6,5,28,8,0,0,0.0,1,0
EventBus,org.greenrobot.eventbusp,SubscriberCancelOtherEvent,0,0,1,1,10,1,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,SubscriberMainThread,1,0,1,1,12,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbusp,IntTestEvent,1,1,1,1,6,1,0,0,0.0,7,0
EventBus,org.greenrobot.eventbusp,EventBusInheritanceDisabledSubclassNoMethod,0,0,0,0,2,0,0,1,-1.0,1,0
EventBus,org.greenrobot.eventbusp,EventBusSubscriberLegalTest,0,0,5,5,27,5,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbusp,Abstract,0,0,1,1,3,1,1,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,AbstractImpl,0,0,1,1,5,1,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbusp,EventBusInheritanceDisabledTest,6,0,17,17,119,17,2,0,0.0,0,7
EventBus,org.greenrobot.eventbusp,MyEventInterface,0,0,0,0,2,0,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,MyEvent,0,0,0,0,2,0,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbusp,MyEventInterfaceExtended,0,0,0,0,2,0,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbusp,MyEventExtended,0,0,0,0,2,0,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbusp,StickySubscriber,0,0,5,5,17,5,0,0,-1.0,0,4
EventBus,org.greenrobot.eventbusp,EventBusSubscriberInJarTest,1,0,1,1,11,1,0,0,0.0,0,2
EventBus,org.greenrobot.eventbusp,EventBusBackgroundThreadTest,0,0,3,3,22,3,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbusp,AbstractAndroidEventBusTest,1,0,7,5,30,7,5,1,0.8571428571428571,0,0
EventBus,org.greenrobot.eventbusp,EventPostHandler,0,0,3,2,11,3,0,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp,TestBackgroundPoster,4,0,5,1,60,10,0,0,0.0,2,1
EventBus,org.greenrobot.eventbusp,EventBusMainThreadRacingTest,5,0,8,7,77,13,0,2,0.375,1,1
EventBus,org.greenrobot.eventbusp,BackgroundPoster,1,0,2,2,15,4,0,0,1.0,0,0
EventBus,org.greenrobot.eventbusp,EventBusMethodModifiersTest,0,0,5,5,27,5,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbusp,EventBusMainThreadTest,0,0,3,3,26,3,0,2,-1.0,0,1
EventBus,org.greenrobot.eventbusp,ClassMapPerfTest,2,0,3,3,28,6,0,0,0.0,0,0
EventBus,org.greenrobot.eventbusp,EventBusAndroidOrderTest,3,0,9,8,49,9,0,2,0.3333333333333333,0,2
EventBus,org.greenrobot.eventbusp,OrderedEvent,1,0,1,0,6,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbusp,EventBusAndroidMultithreadedTest,1,0,7,7,53,13,0,2,0.8571428571428571,0,1
EventBus,org.greenrobot.eventbusp,SubscribeUnsubscribeThread,1,0,6,6,36,9,0,0,0.8333333333333334,1,0
EventBus,org.greenrobot.eventbusp,AndroidComponentsAvailabilityTest,0,0,1,1,6,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp,EventBusAndroidCancelEventDeliveryTest,0,0,1,1,10,1,0,2,-1.0,0,1
EventBus,org.greenrobot.eventbusp,EventBusAndroidActivityTest,2,2,3,3,26,3,0,1,0.6666666666666666,0,2
EventBus,org.greenrobot.eventbusp,WithIndex,0,0,1,1,4,1,0,2,-1.0,0,0
EventBus,org.greenrobot.eventbusp,TestActivity,1,1,1,1,6,1,0,0,0.0,1,0
EventBus,org.greenrobot.eventbusp,SubscriberInJar,1,0,2,2,12,2,0,0,0.0,1,0
EventBus,org.greenrobot.eventbusp,HandlerPoster,4,0,3,3,54,10,0,1,0.0,0,4
EventBus,org.greenrobot.eventbusp.util,ThrowableFailureEvent,3,0,6,6,31,6,0,1,0.3333333333333333,0,0
EventBus,org.greenrobot.eventbusp.util,AsyncExecutor,7,0,11,8,91,15,0,0,0.5454545454545454,0,2
EventBus,org.greenrobot.eventbusp.util,Builder,3,0,6,5,34,9,0,0,0.3333333333333333,0,1
EventBus,org.greenrobot.eventbusp.util,RunnableEx,0,0,1,0,6,1,0,0,-1.0,1,0
EventBus,org.greenrobot.eventbusp.util,ExceptionToResourceMapping,1,1,4,3,57,11,0,0,0.0,0,1
EventBus,org.greenrobot.eventbusp.util,HasExecutionScope,0,0,2,0,4,2,1,0,-1.0,0,0
EventBus,org.greenrobot.eventbusp.meta,SubscriberInfo,0,0,4,0,9,4,1,0,-1.0,2,0
EventBus,org.greenrobot.eventbusp.meta,SimpleSubscriberInfo,1,0,2,2,19,3,0,2,0.0,0,2
EventBus,org.greenrobot.eventbusp.meta,SubscriberInfoIndex,0,0,1,0,6,1,0,0,-1.0,2,0
EventBus,org.greenrobot.eventbusp.meta,SubscriberMethodInfo,5,0,3,3,20,3,0,0,0.0,2,0
EventBus,org.greenrobot.eventbusp.meta,AbstractSubscriberInfo,9,0,7,3,54,8,1,1,0.0,0,1
EventBus,org.greenrobot.eventbusp.android,AndroidComponents,3,2,3,3,18,3,1,0,0.6666666666666666,5,3
EventBus,org.greenrobot.eventbusp.android,AndroidDependenciesDetector,1,0,3,3,38,3,0,0,0.6666666666666666,1,0
EventBus,org.greenrobot.eventbusp.android,AndroidComponentsImpl,0,0,1,1,8,1,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbusp.android,AndroidLogger,1,0,4,3,36,10,0,0,0.0,0,0
EventBus,org.greenrobot.eventbusp.android,DefaultAndroidMainThreadSupport,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusInheritanceDisabledTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusMainThreadTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusMainThreadRacingTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusp.indexed,EventBusAndroidOrderTestWithIndex,0,0,1,1,6,1,0,0,-1.0,0,1
