Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,testPostMixedEventType40Threads,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsSingleEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsSingleEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMultithreadedTest,runThreadsMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusRegistrationRacingTest,run,Magic Number
EventBus,org.greenrobot.eventbusp,SubscriberThread,run,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusFallbackToReflectionTest,testAnonymousSubscriberClassWithPublicSuperclass,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusFallbackToReflectionTest,testAnonymousSubscriberClassWithPrivateSuperclass,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusFallbackToReflectionTest,testSubscriberClassWithPublicAndPrivateEvent,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusFallbackToReflectionTest,testSubscriberExtendingClassWithPrivateEvent,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testUnregisterNotLeaking,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testRegisterTwice,Empty catch clause
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testPostMultipleTimes,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testRegisterAndPostTwoTypes,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testRegisterAndPostTwoTypes,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testRegisterUnregisterAndPostTwoTypes,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,testPostInEventHandler,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBasicTest,onEvent,Magic Number
EventBus,org.greenrobot.eventbusp,RepostInteger,onEvent,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusNoSubscriberEventTest,testBadNoSubscriberSubscriber,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_TypeErasure,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_TypeErasure,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_BaseType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusGenericsTest,testGenericEventAndSubscriber_Subclass,Magic Number
